estado_comprador,id_entidad,id_sujeto,sujeto_obligado,ejercicio,tipo_procedimiento,materia,caracter,expediente,num_contrato,proveedor,rfc_norm,fecha_efectiva,importe,tipo_monto,moneda,direccion_anuncio,url_fallo,municipio_proveedor,cp_proveedor,origen_recursos,convenio_modif,descripcion,objeto,fecha_actualizacion,formato,rfc_valido,es_persona_moral,fecha_constitucion_rfc,nombre_sfp,multa,institucion_sancionadora,inicio,fin,plazo_txt,durante_inhabilitacion
YUCATÁN,31,5791,YUC - Merida,2025,Invitación a cuando menos tres personas,Adquisiciones,Nacional,CI-2025-ADQ-DESMALEZADORA-01,CI-2025-ADQ-DESMALEZADORA-01-01,PROACER S.A. DE C.V.,PRO0007274M9,2025-07-17,1301999.96,con_impuestos,PESO MEXICANO,https://www.merida.gob.mx/municipio/sitiosphp/transparencia/archivos/2025/28/3er_tri/administracion/CI-2025-ADQ-DESMALEZADORA-01-01.pdf,https://www.merida.gob.mx/municipio/sitiosphp/transparencia/archivos/2025/28/3er_tri/administracion/FA-LIC-DESMALEZADORA-01.pdf,Chetumal,77030,"[[1, 'Partida Presupuestal', '5671']]",,Adquiscion  de Desmalezadora,Adquiscion  de Desmalezadora,,59839,True,True,2000-07-27,"PROACER, S.A. DE C.V.","{'monto': '20075.6', 'monto_cf': '              20,075.60'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",,,,False
AGUASCALIENTES,1,499,AGU - INSTITUTO DE SERVICIOS DE SALUD DEL ESTADO DE AGUASCALIENTES,2024,Licitación pública,Servicios,Nacional,LA-60-N56-901026999-N-107-2024,2040,"NEW PHARMA, S.A. DE C.V.",NPH120511MZ4,2024-11-19,487200.0,con_impuestos,PESO MEXICANO,https://www.issea.gob.mx/DocsTranspa/DirAdqsServPat/LA-N-107-2024%20%20Fallo.pdf,https://www.issea.gob.mx/DocsTranspa/DirAdqsServPat/LA-N-107-2024%20%20Fallo.pdf,LEÓN DE LOS ALDAMA,37156,Federales,No,MANTENIMIENTO PREVENTIVO Y CORRECTIVO A EQUIPO MÉDICO Y MAQUINARIA Y EQUIPO,MANTENIMIENTO PREVENTIVO Y CORRECTIVO A EQUIPO MÉDICO Y MAQUINARIA Y EQUIPO,2025-01-06,59240,True,True,2012-05-11,"NEW PHARMA, S.A DE C.V.","{'monto': '686048.6', 'monto_cf': '             686,048.60'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",2025-06-21,2026-06-21,"1 año, 1 mes",False
BAJA CALIFORNIA,2,11660,BCN - Oficialia Mayor de Gobierno,2025,Adjudicación directa,Servicios,Nacional,5033797-1,5033797-1,GEN INDUSTRIAL S.A. DE C.V.,GIN811027SS4,2025-06-17,55609.0,con_impuestos,MEXICANA,http://wsextbc.ebajacalifornia.gob.mx/CdnBc/api/Imagenes/ObtenerImagenDeSistema?sistemaSolicitante=setBC/&nombreArchivo=FuenteOrigen/29/8020251230114541.jpg&descargar=false,,MEXICALI,21387,Estatales,No,SERVICIOS BASICOS,SERVICIOS BASICOS,2025-06-30,59258,True,True,1981-10-27,"GEN INDUSTRIAL, S.A. DE C.V.","{'monto': '157685', 'monto_cf': '             157,685.00'}","{'nombre': 'Hospital General Dr. Manuel Gea Gonzalez', 'clave_dependencia': '12195'}",2025-12-31,2025-03-31,3 meses,False
CHIAPAS,7,21238,CHP - Oficialia Mayor del Estado de Chiapas.,2025,Invitación a cuando menos tres personas,Adquisiciones,Nacional,LRE/022/2025,OM/UAJ/006/2025,"SEGURIDAD ELECTRONICA Y FISICA BUNKER, S.A. DE C.V.",SEF100105SX8,2025-03-31,252989.81,con_impuestos,Peso Mexicano,https://www.sistemas.chiapas.gob.mx/TransparenciaV3/Descargas/DescargarArchivo/?idArchivo=293895&tipoArchivo=1,https://www.sistemas.chiapas.gob.mx/TransparenciaV3/Descargas/DescargarArchivo/?idArchivo=293233&tipoArchivo=1,Tuxtla Gutierrez,29039,Federales,No,"Servicios de V igilancia, Servicios de Lavandería, Limpieza, Higiene y Fumigación","Servicios de V igilancia, Servicios de Lavandería, Limpieza, Higiene y Fumigación",2025-07-14,59365,True,True,2010-01-05,SEGURIDAD ELECTRONICA Y FISICA BUNKER SA DE CV,"{'monto': '22647', 'monto_cf': '              22,647.00'}","{'nombre': 'Telecomunicaciones de Mexico', 'clave_dependencia': '09437'}",,,,False
BAJA CALIFORNIA,2,11660,BCN - Oficialia Mayor de Gobierno,2025,Adjudicación directa,Servicios,Nacional,5056803-1,5056803-1,GEN INDUSTRIAL S.A. DE C.V.,GIN811027SS4,2025-09-10,10648.0,con_impuestos,MEXICANA,http://wsextbc.ebajacalifornia.gob.mx/CdnBc/api/Imagenes/ObtenerImagenDeSistema?sistemaSolicitante=setBC/&nombreArchivo=FuenteOrigen/29/8020251031092049.jpg&descargar=false,,MEXICALI,21387,Estatales,No,SERVICIO DE LIMPIEZA HIGIENE Y FUMIGA,SERVICIO DE LIMPIEZA HIGIENE Y FUMIGA,2025-09-30,59258,True,True,1981-10-27,"GEN INDUSTRIAL, S.A. DE C.V.","{'monto': '157685', 'monto_cf': '             157,685.00'}","{'nombre': 'Hospital General Dr. Manuel Gea Gonzalez', 'clave_dependencia': '12195'}",2025-12-31,2025-03-31,3 meses,False
DURANGO,10,1792,DUR - PE - Universidad Politecnica de Gomez Palacio (UPGOP),2025,Adjudicación directa,Servicios,Nacional,12ARB00072,B5301,Maxi Servicios de Mexico S.A. de C.V.,MSM0705117N6,2025-02-07,175960.4,con_impuestos,Peso,https://transparencia.durango.gob.mx/archivo/upgop/articulo65/XXIX/a/trimestral/2025/FACT_MAXI_175960.40_ENERO_1769868889947.pdf,,Torreón,27000,Federales,No,Servicio de limpieza de febrero,Servicio de limpieza de febrero,,59429,True,True,2007-05-11,"MAXI SERVICIOS DE MÉXICO, S.A. DE C.V.","{'monto': '619656.8', 'monto_cf': '             619,656.80'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",2025-09-13,2026-10-13,"1 año, 1 mes",False
SONORA,26,4912,SON - Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado de Sonora (ISSSTESON),2024,Adjudicación directa,Adquisiciones,Nacional,184185,184185,"MEFALSA MEDICAMENTOS Y FARMACOS DE LEON, S.A. DE C.V.",MMF141020489,2024-10-15,29250.18,con_impuestos,,,,LEÓN,37257,Estatales,,,,2025-03-17,59748,True,True,2014-10-20,"MEFALSA MEDICAMENTOS Y FÁRMACOS DE LEÓN, S.A. DE C.V.,","{'monto': '686048.6', 'monto_cf': '             686,048.60'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",2025-06-11,2026-07-11,"1 año, 1 mes",False
TABASCO,27,5050,TAB - INSTITUTO DE SEGURIDAD SOCIAL DEL ESTADO DE TABASCO (ISSET),2024,Adjudicación directa,Adquisiciones,Nacional,3169,ISSET/DG/DA/061/2024,ABASTECEDORA DE INSUMOS PARA LA SALUD SA DE CV,AIS091015H50,2024-04-08,811211.75,con_impuestos,MXN,https://transparencia.tabasco.gob.mx/media/ISSET/2024/2/702775.pdf,,GUSTAVO A. MADERO,7700,Estatales,No,MEDICINAS Y PRODUCTOS FARMACEUTICOS,COMPRA,2024-06-30,59766,True,True,2009-10-15,"ABASTECEDORA DE INSUMOS PARA LA SALUD, S.A. DE C.V.","{'monto': '1051500', 'monto_cf': '           1,051,500.00'}","{'nombre': 'Secretaría Anticorrupción y Buen Gobierno', 'clave_dependencia': '00027'}",2026-04-24,2028-08-11,"2 años, 6 meses",False
VERACRUZ,30,5403,VER - Secretaria de Infraestructura y Obras Publicas,2025,Licitación pública,Obra pública,Nacional,LO-89-Y24-930007995-N-8-2025,SIOP-OP-PF-009/2025-DGCCYCE,"EYASA, S. DE R.L. DE C.V.",EYA840229LX3,2025-06-19,42159206.59,con_impuestos,NACIONAL,https://drive.google.com/file/d/1BRzS2nT2hXggrmtySVdU0-RJKnQ7Ue0G/view?usp=sharing,https://drive.google.com/drive/folders/1WQKra_YOTeyjWOhovGPuL2R-HoCYBxXs?usp=sharing,XALAPA,91045,Federales,No,"MANTENIMIENTO DEL CAMINO MISANTLA - EL PORVENIR, DEL KM 0+000 AL KM 16+723, EN LOCALIDADES VARIAS, MUNICIPIOS VARIOS, DEL ESTADO DE VERACRUZ DE IGNACIO DE LA LLAVE","MANTENIMIENTO DEL CAMINO MISANTLA - EL PORVENIR, DEL KM 0+000 AL KM 16+723, EN LOCALIDADES VARIAS, MUNICIPIOS VARIOS, DEL ESTADO DE VERACRUZ DE IGNACIO DE LA LLAVE",2025-06-30,59828,True,True,1984-02-29,"EYASA, S.DE R.L DE C.V.","{'monto': '814275', 'monto_cf': '             814,275.00'}","{'nombre': 'Secretaría Anticorrupción y Buen Gobierno', 'clave_dependencia': '00027'}",2025-12-30,2027-03-30,"1 año, 3 meses",False
CIUDAD DE MÉXICO,9,20737,CMX - Secretaria de las Mujeres,2025,Adjudicación directa,Adquisiciones,Nacional,SM/010/2025,SM/010/2025,"D´Sazón Seguridad Alimentaria, S.A. de C.V.",DSS121222IC0,2025-01-10,408791.21,con_impuestos,Nacional,http://semujerestransparencia.cdmx.gob.mx/DEAF/JUDRMAyS/PLATAFORMA/2025/SM-010-2025.pdf,http://semujerestransparencia.cdmx.gob.mx/DEAF/JUDRMAyS/PLATAFORMA/2025/OFICIO_ADJUDICACI%C3%93N_SM_010_2025.pdf,Iztapalapa,9900,Estatales,No,Adquisición de alimentos perecederos y no perecederos para la casa de emergencia y el refugio de la Secretaría de las Mujeres de la Ciudad de México,Adquisición de Alimentos perecederos y no perecederos para la casa de emergencia y el refugio de la Secretaría de las Mujeres de la Ciudad de México,2025-04-30,59413,True,True,2012-12-22,"D´SAZÓN SEGURIDAD ALIMENTARIA, S.A. DE C.V.","{'monto': '537720', 'monto_cf': '             537,720.00'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",2026-01-23,2027-01-23,1 año,False
HIDALGO,13,14669,HID - Universidad Autonoma del Estado de Hidalgo,2025,Adjudicación directa,Servicios,Nacional,12502,,VILMOY SA DE CV,VIL050518596,,,techo_maximo,Pesos,https://www.uaeh.edu.mx/transparencia/contratos/,,Pachuca de Soto,42060,Estatales,No,"[[1, 'Denominación o razón social', 'VILMOY SA DE CV'], [1, 'Registro Federal de Contribuyentes (RFC) de las personas físicas o morales que presentaron una proposición u oferta', 'VIL050518596'], [1, 'Nombre(s)', ''], [1, 'Segundo apellido', ''], [9, 'Sexo (catálogo)', ''], [1, 'Primer apellido', '']]
[[1, 'Denominación o razón social', 'LABORATORIO QUIMICO MICROBIOLÓGICO S DE RL DE CV'], [1, 'Nombre(s)', ''], [1, 'Segundo apellido', ''], [1, 'Registro Federal de Contribuyentes (RFC) de las personas físicas o morales que presentaron una proposición u oferta', ''], [9, 'Sexo (catálogo)', ''], [1, 'Primer apellido', '']]",Pago por el servicio mensual del estudio de calidad del agua en los laboratorios de Gastronomía para el año 2025,2026-01-15,59483,True,True,2005-05-18,"VILMOY, S.A. DE C.V.","{'monto': '130959.5', 'monto_cf': '             130,959.50'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",2024-09-11,2025-03-11,3 meses,False
TABASCO,27,5119,TAB - UNIVERSIDAD JUAREZ AUTONOMA DE TABASCO (UJAT),2024,Adjudicación directa,Adquisiciones,Nacional,PD/DRM/UJAT/0099/2024,PD/DRM/UJAT/0099/2024,"INNOVARE INTEGRAL, S.A. DE C.V.",IIN100621EL8,2024-04-22,95000.4,con_impuestos,MXN,,,CENTRO,86160,Estatales,No,EQUIPOS DE ADMINISTRACIÓN,ADQUISICIÓN,2024-06-30,59766,True,True,2010-06-21,"INNOVARE INTEGRAL, S.A. DE C.V.","{'monto': '269328', 'monto_cf': '             269,328.00'}","{'nombre': 'Instituto Mexicano del Petroleo', 'clave_dependencia': '18474'}",2022-12-16,2023-06-16,6 meses,False
VERACRUZ,30,5522,VER - Ayuntamiento de Nanchital de Lazaro Cardenas del Rio,2024,Invitación a cuando menos tres personas,Adquisiciones,Nacional,ADQ-SP-0273-2024,DIF-0035-2024,MULTISERVICIOS AUTOMOTRICES PROFESIONALES SA DE CV,MAP9611222V8,2024-07-06,6380.0,con_impuestos,PESO MEXICANO,,,COATZACOALCOS,96400,Federales,No,"SUMINISTRO DE REFACCIONES: KIT DE HERRAJES BALASTAS TRASERAS, BALATAS DELANTERAS Y TRASERAS. PARA LA AMBULANCIA DIF-09, FORO, MOD: 2023, NO. SERIE: WFORS5HP5NTN30807, PLACAS: AM- 171-XY. VEHICULAR","SUMINISTRO DE REFACCIONES: KIT DE HERRAJES BALASTAS TRASERAS, BALATAS DELANTERAS Y TRASERAS. PARA LA AMBULANCIA DIF-09, FORO, MOD: 2023, NO. SERIE: WFORS5HP5NTN30807, PLACAS: AM- 171-XY.",,59828,True,True,1996-11-22,MULTISERVICIOS AUTOMOTRICES PROFESIONALES S.A. DE C.V.,"{'monto': '157685', 'monto_cf': '             157,685.00'}","{'nombre': 'Caminos y Puentes Federales de Ingresos y Servicios Conexos', 'clave_dependencia': '09120'}",2024-08-09,2024-11-09,3 meses,False
COAHUILA DE ZARAGOZA,5,1046,COA - SIMAS Monclova-Frontera,2024,Adjudicación directa,Servicios,Nacional,24109032,24000027,"MAXI SERVICIOS DE MEXICO, S.A. DE C.V.",MSM0705117N6,2024-03-06,167041.16,con_impuestos,Nacional,,,Torreon,27000,Municipales,No,CONTRATACION DE PERSONAL DE GUARDIAS DE SEGURIDAD PARA LAS OFICINAS DE SIMAS,CONTRATACION DE PERSONAL DE GUARDIAS DE SEGURIDAD PARA LAS OFICINAS DE SIMAS,2024-03-31,59330,True,True,2007-05-11,"MAXI SERVICIOS DE MÉXICO, S.A. DE C.V.","{'monto': '619656.8', 'monto_cf': '             619,656.80'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",2025-09-13,2026-10-13,"1 año, 1 mes",False
GUANAJUATO,11,11005,GUA - Poder Ejecutivo,2025,Adjudicación directa,Adquisiciones,Nacional,411910706_2025_DGRMySG_39431,411910706_2024_DGRMySG_39431,NEW PHARMA SA DE CV,NPH120511MZ4,2025-03-07,76318480.26,con_impuestos,MXN,https://transparencia.guanajuato.gob.mx/bibliotecadigital/mot/FraccionXXVIII/SSG-ISAPEG/411910706_2025_DGRMySG_39431.pdf,https://transparencia.guanajuato.gob.mx/bibliotecadigital/mot/FraccionXXVIII/SSG-ISAPEG/411910706_ACTA_058.pdf,León,37156,Estatales,No,Medicinas y productos farmacéuticos,Adquisición de Medicinas y productos farmacéuticos,2025-04-10,59447,True,True,2012-05-11,"NEW PHARMA, S.A DE C.V.","{'monto': '686048.6', 'monto_cf': '             686,048.60'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",2025-06-21,2026-06-21,"1 año, 1 mes",False
HIDALGO,13,2131,HID - Poder Ejecutivo del Estado de Hidalgo,2025,Adjudicación directa,Adquisiciones,Nacional,MR/DAyP/35/2025,MR/DAyP/35/2025,Soluciones en Domotica e Informatica Administrativa S.A. de C.V.,SDE091117K91,2025-05-02,4872.0,con_impuestos,Nacional,https://transparenciadocs.hidalgo.gob.mx/ENTIDADES/MINJHRehilete/48Fracciones/XXVIII/2025/2T/MR-DAyP-35-2025.pdf,,Coacalco de Berriozábal,55700,Estatales,No,"Cámaras 2 megapíxeles, material metálico NTSC/30m/3.6mm/","Cámaras 2 megapíxeles, material metálico NTSC/30m/3.6mm/",2025-07-10,59483,True,True,2009-11-17,"SOLUCIONES EN DOMÓTICA  E INFORMATICA ADMINISTRATIVA, S.A. DE C.V.","{'monto': '27782.2', 'monto_cf': '              27,782.20'}","{'nombre': 'Secretaría Anticorrupción y Buen Gobierno', 'clave_dependencia': '00027'}",,,,False
CIUDAD DE MÉXICO,9,1737,CMX - Sistema de Transporte Colectivo,2025,Invitación a cuando menos tres personas,Adquisiciones,Nacional,"STC-GACS-CCP-BM-013-2025 GRUPO INDUSTRIAL ASAD,  S.A. DE C.V.","STC-GACS-CCP-BM-013-2025 GRUPO INDUSTRIAL ASAD,  S.A. DE C.V.","GRUPO INDUSTRIAL ASAD,  S.A. DE C.V.",GIA120130MA8,2025-07-11,2264562.07,con_impuestos,Nacional,https://www.transparencia.cdmx.gob.mx/storage/app/uploads/public/691/e09/910/691e09910dc8c911052107.pdf,https://www.transparencia.cdmx.gob.mx/storage/app/uploads/public/682/3b0/34f/6823b034f01b6036849388.pdf,Información en Proceso de Ser Generada,7780,Federales,No,VESTUARIO PLAN VACACIONAL,VESTUARIO PLAN VACACIONAL,2025-11-24,59413,True,True,2012-01-30,"GRUPO INDUSTRIAL ASAD, S.A. DE C.V.","{'monto': '791980', 'monto_cf': '             791,980.00'}","{'nombre': 'Secretaría Anticorrupción y Buen Gobierno', 'clave_dependencia': '00027'}",2026-02-11,2027-05-11,"1 año, 3 meses",False
DURANGO,10,1792,DUR - PE - Universidad Politecnica de Gomez Palacio (UPGOP),2024,Adjudicación directa,Servicios,Nacional,07JLH00002,B3640,Maxi Servicios de Mexico S.A. de C.V.,MSM0705117N6,2024-07-01,175960.4,con_impuestos,Peso,https://transparencia.durango.gob.mx/archivo/upgop/articulo65/XXIX/a/trimestral/2024/FACT._MAXI_175960.40_0001_1730314296376.pdf,,Torreón,27000,Estatales,No,Servicio de limpieza de junio,Servicio de limpieza de mes de junio,,59429,True,True,2007-05-11,"MAXI SERVICIOS DE MÉXICO, S.A. DE C.V.","{'monto': '619656.8', 'monto_cf': '             619,656.80'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",2025-09-13,2026-10-13,"1 año, 1 mes",False
VERACRUZ,30,5642,VER - Universidad Veracruzana,2024,Adjudicación directa,Servicios,Nacional,AD,152888,Abastecedora Tecnologica Especializada S.A. de C.V.,ATE070307EN4,2024-06-04,16895.61,con_impuestos,Pesos Mexicanos,,,,,Estatales,,"Instalación, Reparación y Mantenimiento de Equipo e Instrumental Médico y de Laboratorio","Instalación, Reparación y Mantenimiento de Equipo e Instrumental Médico y de Laboratorio",2024-06-30,59828,True,True,2007-03-07,"ABASTECEDORA TECNOLÓGICA ESPECIALIZADA, S.A. DE C.V.","{'monto': '488565', 'monto_cf': '             488,565.00'}","{'nombre': 'Secretaría Anticorrupción y Buen Gobierno', 'clave_dependencia': '00027'}",2025-11-05,2026-08-05,9 meses,False
SONORA,26,4912,SON - Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado de Sonora (ISSSTESON),2024,Adjudicación directa,Adquisiciones,Nacional,175590,175590,"MEFALSA MEDICAMENTOS Y FARMACOS DE LEON, S.A. DE C.V.",MMF141020489,2024-07-01,167000.0,con_impuestos,,,,LEÓN,37257,Estatales,,ERITROPOYETINA SOL. INY. / FCO.  AMP. 4000 U.I. C/1 ML. C/6,,2024-09-30,59748,True,True,2014-10-20,"MEFALSA MEDICAMENTOS Y FÁRMACOS DE LEÓN, S.A. DE C.V.,","{'monto': '686048.6', 'monto_cf': '             686,048.60'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",2025-06-11,2026-07-11,"1 año, 1 mes",False
JALISCO,14,13791,JAL - Instituto Tecnologico Jose Mario Molina Pasquel y Henriquez,2024,Adjudicación directa,Servicios,Nacional,AA-73-013-914145976-N-14-2024,COORDINACION DE COMPRAS,MAXI SERVICIOS DE MEXICO SA DE CV,MSM0705117N6,2024-02-01,905136.32,con_impuestos,MXN,https://upcp-compranet.hacienda.gob.mx/compranet/#/procedimientos/detalle-adjd/4641ffa2-c98a-4a86-9068-6d4b6b2221f3,https://upcp-compranet.hacienda.gob.mx/compranet/#/procedimientos/detalle-adjd/4641ffa2-c98a-4a86-9068-6d4b6b2221f3,TORREÓN,27000,Federales,No,SERVICIO DE VIGILANCIA DEL PERIODO DEL MES DE FEBRERO 2024,SERVICIO DE VIGILANCIA DEL PERIODO DEL MES DE FEBRERO 2024,2024-06-18,59501,True,True,2007-05-11,"MAXI SERVICIOS DE MÉXICO, S.A. DE C.V.","{'monto': '619656.8', 'monto_cf': '             619,656.80'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",2025-09-13,2026-10-13,"1 año, 1 mes",False
HIDALGO,13,2131,HID - Poder Ejecutivo del Estado de Hidalgo,2025,Adjudicación directa,Servicios,Nacional,MR/DAyP/59/2025,MR/DAyP/59/2025,Soluciones en Domotica e Informatica Administrativa S.A. de C.V.,SDE091117K91,2025-06-04,1160.0,con_impuestos,Nacional,https://transparenciadocs.hidalgo.gob.mx/ENTIDADES/MINJHRehilete/48Fracciones/XXVIII/2025/2T/MR-DAyP-59-2025.pdf,,Coacalco de Berriozábal,55700,Estatales,No,diseño de lonas con acabado en alta resolución uv con acabado dobladillo al raz para mamparas pequeñas con medidas de 85 x 150 centímetros,diseño de lonas con acabado en alta resolución uv con acabado dobladillo al raz para mamparas pequeñas con medidas de 85 x 150 centímetros,2025-07-10,59483,True,True,2009-11-17,"SOLUCIONES EN DOMÓTICA  E INFORMATICA ADMINISTRATIVA, S.A. DE C.V.","{'monto': '27782.2', 'monto_cf': '              27,782.20'}","{'nombre': 'Secretaría Anticorrupción y Buen Gobierno', 'clave_dependencia': '00027'}",,,,False
HIDALGO,13,14669,HID - Universidad Autonoma del Estado de Hidalgo,2024,Adjudicación directa,Servicios,Nacional,1138,,Vilmoy SA de CV,VIL050518596,,,techo_maximo,Peso,,,Pachuca de Soto,42060,Estatales,,,"Estudio mensual de calidad del agua que se utiliza en los Laboratorios del Programa Educativo de Gastronomía, correspondiente al mes de febrero del 2024, bajo los parámetros que marca el Distintivo H en las siguientes Normas: NOM-092-SSA1-1994 Mesofílicos",,59483,True,True,2005-05-18,"VILMOY, S.A. DE C.V.","{'monto': '130959.5', 'monto_cf': '             130,959.50'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",2024-09-11,2025-03-11,3 meses,False
HIDALGO,13,14669,HID - Universidad Autonoma del Estado de Hidalgo,2025,Adjudicación directa,Servicios,Nacional,12504,,VILMOY SA DE CV,VIL050518596,,,techo_maximo,Pesos,https://www.uaeh.edu.mx/transparencia/contratos/,,Pachuca de Soto,42060,Estatales,No,"[[1, 'Denominación o razón social', 'VILMOY SA DE CV'], [1, 'Registro Federal de Contribuyentes (RFC) de las personas físicas o morales que presentaron una proposición u oferta', 'VIL050518596'], [1, 'Nombre(s)', ''], [1, 'Segundo apellido', ''], [9, 'Sexo (catálogo)', ''], [1, 'Primer apellido', '']]
[[1, 'Denominación o razón social', 'LABORATORIO QUIMICO MICROBIOLÓGICO S DE RL DE CV'], [1, 'Nombre(s)', ''], [1, 'Segundo apellido', ''], [1, 'Registro Federal de Contribuyentes (RFC) de las personas físicas o morales que presentaron una proposición u oferta', ''], [9, 'Sexo (catálogo)', ''], [1, 'Primer apellido', '']]",Pago por el servicio mensual del estudio de calidad del agua en los laboratorios de Gastronomía para el año 2025,2026-01-15,59483,True,True,2005-05-18,"VILMOY, S.A. DE C.V.","{'monto': '130959.5', 'monto_cf': '             130,959.50'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",2024-09-11,2025-03-11,3 meses,False
TABASCO,27,5050,TAB - INSTITUTO DE SEGURIDAD SOCIAL DEL ESTADO DE TABASCO (ISSET),2025,Adjudicación directa,Servicios,Nacional,4899,ISSET/DG/DA/119/2025,SIEMENS HEALTHCARE DIAGNOSTICS S de RL de CV,SHD080618IA7,2025-10-03,178700.32,con_impuestos,MXN,https://transparencia.tabasco.gob.mx/media/ISSET/2025/4/760651.pdf,,MIGUEL HIDALGO,11560,Estatales,No,"INSTALACION, REPARACION Y MANTENIMIENTO DE EQUIPO E INSTRUMENTAL MEDICO Y DE LABORATORIO",SERVICIO,2025-12-31,59766,True,True,2008-06-18,"SIEMENS HEALTHCARE DIAGNOSTICS, S. DE R.L. DE C.V.","{'monto': '566175', 'monto_cf': '             566,175.00'}","{'nombre': 'Instituto de Seguridad y Servicios Sociales de los Trabajadores del  Estado', 'clave_dependencia': '00637'}",,,,False
HIDALGO,13,14669,HID - Universidad Autonoma del Estado de Hidalgo,2024,Adjudicación directa,Servicios,Nacional,12924,,VILMOY SA DE CV,VIL050518596,,,techo_maximo,Pesos,,,Pachuca de Soto,42060,Estatales,No,"Estudio mensual de calidad del agua que se utiliza en los Laboratorios del Programa Educativo de Gastronomía, correspondiente al mes de julio del 2024, bajo los parámetros que marca el Distintivo H en las siguientes Normas: NOM-092-SSA1-1994 Mesofílicos a","Estudio mensual de calidad del agua que se utiliza en los Laboratorios del Programa Educativo de Gastronomía, correspondiente al mes de julio del 2024, bajo los parámetros que marca el Distintivo H en las siguientes Normas: NOM-092-SSA1-1994 Mesofílicos a",2024-10-18,59483,True,True,2005-05-18,"VILMOY, S.A. DE C.V.","{'monto': '130959.5', 'monto_cf': '             130,959.50'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",2024-09-11,2025-03-11,3 meses,False
NUEVO LEÓN,19,11055,"NLE - Servicios de Salud de Nuevo Leon, O.P.D.",2024,Otra (especificar),Adquisiciones,Nacional,AD2401877,AD2401877,"PR MEDICAL GROUP, S.A. DE C.V.",PMG180129RC2,2024-11-04,159806.85,con_impuestos,MONEDA NACIONAL,https://betatransparencia.nl.gob.mx/Anexo/DescargarAnexo?Id=eWFJaEZsV2pwRWs9&amp;doc=AD2401877 Pedido.pdf,,MONTERREY,64720,Estatales,Si,"MATERIALES, ACCESORIOS Y SUMINISTROS MEDICOS","MATERIALES, ACCESORIOS Y SUMINISTROS MEDICOS",2024-11-30,59606,True,True,2018-01-29,"PR MEDICAL GROUP, S.A. DE C.V.","{'monto': '26932.8', 'monto_cf': '              26,932.80'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",,,,False
QUINTANA ROO,23,12871,ROO - SISTEMA QUINTANARROENSE DE COMUNICACION SOCIAL,2025,Licitación pública,Servicios,Nacional,SQCS/LP/02/2025,CLITP-SQCS-02-2025,TEL CAST S.A DE C.V,TCA040802AS5,2025-04-01,1637514.0,con_impuestos,NACIONAL,https://SQCSCLOUD.myqnapcloud.com/share.cgi?ssid=f80e9e61640a4997a23fc1b63c8543ca,https://SQCSCLOUD.myqnapcloud.com/share.cgi?ssid=ff0a71d5ed614645928a2e7a869fd0b9,IZTAPALAPA,9260,Estatales,No,SERVICIO DE ENVÍO Y RECEPCIÓN DE SEÑAL SATELITAL DE RADIO Y TELEVISIÓN DIGITAL,SERVICIO DE ENVÍO Y RECEPCIÓN DDE SEÑAL SATELITAL DE RADIO T TELEVISIÓN,2025-07-28,59676,True,True,2004-08-02,"TEL CAST, S.A. DE C.V.","{'monto': '78885', 'monto_cf': '              78,885.00'}","{'nombre': 'Telecomunicaciones de Mexico', 'clave_dependencia': '09437'}",2009-05-20,2009-08-20,3 meses,False
